id,osm_id,name,dtype,distance,people_local,people_total
2,-512,Заельцовский парк,direct,3000,9892,22440
27,51871600,Павловский сквер,direct,13250,23183,845967
13,55228146,"Парк ""Горский""",direct,6250,43899,518099
16,25642995,Сквер Оперного театра,direct,15750,1357,1016884
22,-1094,Парк Кирова (Октябрьский р-н),direct,6000,32670,572859
24,329894924,Сосновый бор,direct,24250,1203,1051819
21,-1073,Сквер за оперным,direct,16500,6009,1038563
9,53098200,Сквер им. Чаплыгина,direct,23500,1242,1041545
11,25768883,Сквер НГАВТ,direct,9500,17832,872856
18,25642909,Центральный парк,direct,2750,27320,191832
16,25642995,Сквер Оперного театра,direct,9000,29068,857685
18,25642909,Центральный парк,direct,11750,16096,971564
21,-1073,Сквер за оперным,direct,19750,4244,1078743
23,-907,Сухой лог,direct,26250,3066,1135369
32,591,Ботанический сад СО РАН,direct,32000,8197,1065633
23,-907,Сухой лог,direct,1500,11381,38878
9,53098200,Сквер им. Чаплыгина,direct,5750,19086,399378
13,55228146,"Парк ""Горский""",direct,12000,4815,923453
20,25768888,Сквер театра Глобус,direct,9250,6858,856169
19,774,Набережная (вместе),direct,21250,725,1136528
14,25642999,Первомайский сквер,direct,4500,22762,367860
9,53098200,Сквер им. Чаплыгина,direct,2000,12136,35644
11,25768883,Сквер НГАВТ,direct,17000,6477,1039637
11,25768883,Сквер НГАВТ,direct,19250,7397,1067147
7,41848759,Парк им.Покрышкина,direct,23250,791,1155198
18,25642909,Центральный парк,direct,10000,1884,897216
28,290224818,У моря обского,direct,15500,23834,329740
14,25642999,Первомайский сквер,direct,4000,41023,317138
30,53372014,Сквер авиастроителей,direct,22750,18714,1084155
12,-790,Пойма 1й Ельцовки,direct,14000,18470,983393
10,25768832,Нарымский сквер,direct,14000,3416,1001444
14,25642999,Первомайский сквер,direct,20750,3776,1089339
11,25768883,Сквер НГАВТ,direct,5500,25722,474049
9,53098200,Сквер им. Чаплыгина,direct,26500,6293,1110765
29,53372013,ПКиО им. Ф. Дзержинского,direct,17500,6,1040182
8,53003964,Тимирязевский сквер,direct,14500,15945,994994
27,51871600,Павловский сквер,direct,7500,8973,557249
5,25692127,Монумент Славы,direct,13500,8475,923981
32,591,Ботанический сад СО РАН,direct,24250,16596,539939
8,53003964,Тимирязевский сквер,direct,22500,10777,1055115
9,53098200,Сквер им. Чаплыгина,direct,1750,6309,23508
21,-1073,Сквер за оперным,direct,250,1033,1033
31,-1019,Пойма ручья в Щ,direct,35250,3251,1151150
6,207882123,Сквер им. Гагарина,direct,17500,3092,1053514
24,329894924,Сосновый бор,direct,32000,1054,1154657
30,53372014,Сквер авиастроителей,direct,18000,89,1040299
11,25768883,Сквер НГАВТ,direct,500,5818,7637
3,-510,Ботсад (город),direct,10500,8524,803094
11,25768883,Сквер НГАВТ,direct,14250,3750,1002916
8,53003964,Тимирязевский сквер,direct,25500,9711,1127548
26,25658024,Сквер ГПНТБ,direct,4250,32222,271025
11,25768883,Сквер НГАВТ,direct,11500,4359,971502
11,25768883,Сквер НГАВТ,direct,4750,25316,385765
28,290224818,У моря обского,direct,18000,22992,547777
4,36774872,ПКиО им. Кирова (Ленинский р-н),direct,1500,23316,69820
7,41848759,Парк им.Покрышкина,direct,21500,3248,1140362
12,-790,Пойма 1й Ельцовки,direct,17750,383,1028103
7,41848759,Парк им.Покрышкина,direct,16750,2951,1055150
10,25768832,Нарымский сквер,direct,17750,2213,1031943
27,51871600,Павловский сквер,direct,20250,19,1040303
9,53098200,Сквер им. Чаплыгина,direct,2500,17537,64824
11,25768883,Сквер НГАВТ,direct,1000,8780,24915
11,25768883,Сквер НГАВТ,direct,15250,844,1012784
1,25973057,Троицкий сквер,direct,6000,2051,266641
29,53372013,ПКиО им. Ф. Дзержинского,direct,25750,4423,1140552
25,25657738,Берёзовая роща,direct,4250,32319,454128
12,-790,Пойма 1й Ельцовки,direct,18750,4234,1038661
1,25973057,Троицкий сквер,direct,8750,38985,452569
19,774,Набережная (вместе),direct,750,1777,2062
8,53003964,Тимирязевский сквер,direct,24000,772,1084166
21,-1073,Сквер за оперным,direct,13500,1857,999178
32,591,Ботанический сад СО РАН,direct,27000,27275,808194
18,25642909,Центральный парк,direct,14000,4034,1008370
25,25657738,Берёзовая роща,direct,25250,4061,1145483
31,-1019,Пойма ручья в Щ,direct,13000,18961,194933
28,290224818,У моря обского,direct,22750,17363,870989
5,25692127,Монумент Славы,direct,250,1983,1983
16,25642995,Сквер Оперного театра,direct,12250,3271,987221
27,51871600,Павловский сквер,direct,31250,1054,1154657
17,59547865,сквер Героев Революции,direct,10000,18141,912493
31,-1019,Пойма ручья в Щ,direct,18750,23882,425280
10,25768832,Нарымский сквер,direct,13000,9485,982510
24,329894924,Сосновый бор,direct,16000,2579,955062
12,-790,Пойма 1й Ельцовки,direct,13000,6381,923008
23,-907,Сухой лог,direct,6000,9308,505452
30,53372014,Сквер авиастроителей,direct,23000,12293,1096448
19,774,Набережная (вместе),direct,24250,424,1154023
23,-907,Сухой лог,direct,8750,1671,583307
32,591,Ботанический сад СО РАН,direct,32500,3682,1076893
31,-1019,Пойма ручья в Щ,direct,17750,13283,335605
2,-512,Заельцовский парк,direct,15250,7534,990177
20,25768888,Сквер театра Глобус,direct,4250,28983,348920
17,59547865,сквер Героев Революции,direct,11750,5730,983279
27,51871600,Павловский сквер,direct,5250,23987,408595
27,51871600,Павловский сквер,direct,28750,3346,1151690
14,25642999,Первомайский сквер,direct,2500,14687,120099
5,25692127,Монумент Славы,direct,22250,3690,1148125
2,-512,Заельцовский парк,direct,4750,16999,122273
17,59547865,сквер Героев Революции,direct,2750,21668,148048
2,-512,Заельцовский парк,direct,11500,8907,839394
3,-510,Ботсад (город),direct,23250,12507,1062170
2,-512,Заельцовский парк,direct,14250,11299,940441
6,207882123,Сквер им. Гагарина,direct,6750,39826,474590
14,25642999,Первомайский сквер,direct,1750,16052,68024
16,25642995,Сквер Оперного театра,direct,21000,8323,1095929
24,329894924,Сосновый бор,direct,7750,9825,541289
32,591,Ботанический сад СО РАН,direct,38500,3234,1140200
31,-1019,Пойма ручья в Щ,direct,14000,14022,240165
21,-1073,Сквер за оперным,direct,22250,1232,1135365
29,53372013,ПКиО им. Ф. Дзержинского,direct,6750,31920,558772
8,53003964,Тимирязевский сквер,direct,7000,24513,514975
2,-512,Заельцовский парк,direct,5500,16316,164987
9,53098200,Сквер им. Чаплыгина,direct,20750,4283,1037368
18,25642909,Центральный парк,direct,13000,4109,994984
7,41848759,Парк им.Покрышкина,direct,8500,29767,626030
28,290224818,У моря обского,direct,23000,27826,898815
8,53003964,Тимирязевский сквер,direct,27750,4098,1141833
9,53098200,Сквер им. Чаплыгина,direct,4000,32585,202443
22,-1094,Парк Кирова (Октябрьский р-н),direct,1500,6147,30849
16,25642995,Сквер Оперного театра,direct,10750,12816,941264
4,36774872,ПКиО им. Кирова (Ленинский р-н),direct,8750,21308,711889
2,-512,Заельцовский парк,direct,17000,4211,1000315
2,-512,Заельцовский парк,direct,19250,1070,1023406
17,59547865,сквер Героев Революции,direct,14000,1955,1001998
